Transaction_ID,Transaction_Date,Customer_ID,Product_Name,Quantity,Price,Payment_Method,Transaction_Status,Year,Month,Day,Month_Name,Year_Month,Transaction_Type,Abs_Price,Refund_Amount,Sales_Amount
T0069,2021-03-03,C1757,Headphones,5.0,-750.9838518199657,Credit card,completed,2021,3,3,March,2021-03,Refund/Reversal,750.9838518199657,750.9838518199657,0.0
T0081,2023-02-28,C3687,Smartphone,8.0,-845.0306396233873,Paypal,completed,2023,2,28,February,2023-02,Refund/Reversal,845.0306396233873,845.0306396233873,0.0
T0093,2024-12-31,C3843,Tablet,973.0,784.0773703024178,Creditcard,completed,2024,12,31,December,2024-12,Sale,784.0773703024178,0.0,784.0773703024178
T0103,2022-12-04,C327,Tablet,10.0,-963.4581062931452,Paypal,completed,2022,12,4,December,2022-12,Refund/Reversal,963.4581062931452,963.4581062931452,0.0
T0112,2024-09-06,C4249,Laptop,723.0,90.34728588175324,Creditcard,failed,2024,9,6,September,2024-09,Sale,90.34728588175324,0.0,90.34728588175324
T0113,2020-04-08,C2894,Headphones,8.0,86.41580941098921,Paypal,completed,2020,4,8,April,2020-04,Sale,86.41580941098921,0.0,86.41580941098921
T0132,2020-08-20,C1736,Laptop,10.0,-63.46828347895041,Paypal,completed,2020,8,20,August,2020-08,Refund/Reversal,63.46828347895041,63.46828347895041,0.0
T0133,2021-07-12,C2977,Laptop,137.0,-97.98868055300454,Credit card,failed,2021,7,12,July,2021-07,Refund/Reversal,97.98868055300454,97.98868055300454,0.0
T0137,2022-08-04,C4112,Headphones,322.0,-557.4354116843066,Paypal,completed,2022,8,4,August,2022-08,Refund/Reversal,557.4354116843066,557.4354116843066,0.0
T0143,2022-06-28,C3555,Smartphone,3.0,625.381192727248,Credit card,completed,2022,6,28,June,2022-06,Sale,625.381192727248,0.0,625.381192727248
T0144,2020-02-03,C4891,Coffee Machine,8.0,375.97285452626176,Paypal,completed,2020,2,3,February,2020-02,Sale,375.97285452626176,0.0,375.97285452626176
T0154,2022-01-13,C3826,Smartphone,3.0,-218.2141312027652,Paypal,completed,2022,1,13,January,2022-01,Refund/Reversal,218.2141312027652,218.2141312027652,0.0
T0155,2020-01-23,C1382,Coffee Machine,6.0,-480.0904805246544,Paypal,completed,2020,1,23,January,2020-01,Refund/Reversal,480.0904805246544,480.0904805246544,0.0
T0157,2021-02-01,C2917,Coffee Machine,304.0,863.77,Creditcard,pending,2021,2,1,February,2021-02,Sale,863.77,0.0,863.77
T17515,2024-11-25,C3287,Smartphone,9.0,850.4985899006939,Credit card,pending,2024,11,25,November,2024-11,Sale,850.4985899006939,0.0,850.4985899006939
T0163,2021-08-11,C666,Smartphone,8.0,-455.46,Creditcard,completed,2021,8,11,August,2021-08,Refund/Reversal,455.46,455.46,0.0
T0167,2021-08-05,C2395,Coffee Machine,547.0,-884.3602155938391,Credit card,pending,2021,8,5,August,2021-08,Refund/Reversal,884.3602155938391,884.3602155938391,0.0
T0175,2020-09-26,C4393,Laptop,505.0,213.46164941734105,Cash,completed,2020,9,26,September,2020-09,Sale,213.46164941734105,0.0,213.46164941734105
T0177,2025-01-04,C3662,Tablet,4.0,460.8278566012473,Paypal,completed,2025,1,4,January,2025-01,Sale,460.8278566012473,0.0,460.8278566012473
T0179,2021-08-19,C4160,Tablet,622.0,121.8158272059667,Cash,completed,2021,8,19,August,2021-08,Sale,121.8158272059667,0.0,121.8158272059667
T0181,2022-05-04,C887,Smartphone,359.0,365.48,Credit card,failed,2022,5,4,May,2022-05,Sale,365.48,0.0,365.48
T0182,2021-07-24,C4140,Coffee Machine,916.0,516.1081584281587,Credit card,pending,2021,7,24,July,2021-07,Sale,516.1081584281587,0.0,516.1081584281587
T0185,2024-05-14,C4308,Smartphone,779.0,388.0390415465828,Pay pal,completed,2024,5,14,May,2024-05,Sale,388.0390415465828,0.0,388.0390415465828
T0188,2023-08-12,C1159,Laptop,2.0,-567.5614912317114,Credit card,pending,2023,8,12,August,2023-08,Refund/Reversal,567.5614912317114,567.5614912317114,0.0
T0189,2022-08-19,C047,Smartphone,10.0,252.64176119515056,Paypal,completed,2022,8,19,August,2022-08,Sale,252.64176119515056,0.0,252.64176119515056
T0204,2021-02-08,C4690,Headphones,258.0,854.4182002616594,Credit card,completed,2021,2,8,February,2021-02,Sale,854.4182002616594,0.0,854.4182002616594
T0221,2020-03-08,C1613,Coffee Machine,3.0,58.03358928393075,Creditcard,failed,2020,3,8,March,2020-03,Sale,58.03358928393075,0.0,58.03358928393075
T0225,2023-04-18,C298,Tablet,10.0,282.0102882048541,Paypal,failed,2023,4,18,April,2023-04,Sale,282.0102882048541,0.0,282.0102882048541
T0230,2023-06-07,C1387,Headphones,8.0,933.2568077416644,Pay pal,completed,2023,6,7,June,2023-06,Sale,933.2568077416644,0.0,933.2568077416644
T0241,2022-12-09,C2398,Coffee Machine,5.0,643.7099744048677,Paypal,failed,2022,12,9,December,2022-12,Sale,643.7099744048677,0.0,643.7099744048677
T0248,2024-07-10,C2496,Headphones,431.0,242.13,Paypal,failed,2024,7,10,July,2024-07,Sale,242.13,0.0,242.13
T0251,2023-04-17,C3631,Headphones,212.0,873.7449157057446,Creditcard,failed,2023,4,17,April,2023-04,Sale,873.7449157057446,0.0,873.7449157057446
T0252,2022-03-01,C4052,Laptop,2.0,-162.84533598386884,Credit card,completed,2022,3,1,March,2022-03,Refund/Reversal,162.84533598386884,162.84533598386884,0.0
T0253,2024-03-22,C1374,Laptop,9.0,115.6814182877149,Cash,completed,2024,3,22,March,2024-03,Sale,115.6814182877149,0.0,115.6814182877149
T0254,2021-11-14,C2859,Coffee Machine,165.0,115.37062226098816,Creditcard,completed,2021,11,14,November,2021-11,Sale,115.37062226098816,0.0,115.37062226098816
T0255,2021-01-12,C4435,Laptop,9.0,878.3307368842339,Creditcard,failed,2021,1,12,January,2021-01,Sale,878.3307368842339,0.0,878.3307368842339
T0267,2021-01-18,C4543,Coffee Machine,7.0,699.4001442993365,Cash,completed,2021,1,18,January,2021-01,Sale,699.4001442993365,0.0,699.4001442993365
T0268,2023-12-01,C2381,Laptop,7.0,-617.8889335532153,Paypal,failed,2023,12,1,December,2023-12,Refund/Reversal,617.8889335532153,617.8889335532153,0.0
T0269,2024-08-11,C3990,Coffee Machine,8.0,810.4362003026442,Credit card,completed,2024,8,11,August,2024-08,Sale,810.4362003026442,0.0,810.4362003026442
T0274,2023-02-08,C2934,Coffee Machine,8.0,58.90413474001046,Paypal,failed,2023,2,8,February,2023-02,Sale,58.90413474001046,0.0,58.90413474001046
T0284,2022-10-04,C1301,Laptop,222.0,698.6577228569703,Cash,pending,2022,10,4,October,2022-10,Sale,698.6577228569703,0.0,698.6577228569703
T0294,2023-07-24,C1719,Laptop,3.0,581.8841170252601,Credit card,completed,2023,7,24,July,2023-07,Sale,581.8841170252601,0.0,581.8841170252601
T0299,2020-11-26,C1664,Headphones,3.0,132.95090982621306,Creditcard,pending,2020,11,26,November,2020-11,Sale,132.95090982621306,0.0,132.95090982621306
T0303,2020-12-28,C4785,Smartphone,1.0,-631.3593865496682,Credit card,completed,2020,12,28,December,2020-12,Refund/Reversal,631.3593865496682,631.3593865496682,0.0
T0304,2022-04-12,C1803,Laptop,5.0,140.6198774288747,Paypal,completed,2022,4,12,April,2022-04,Sale,140.6198774288747,0.0,140.6198774288747
T0313,2021-06-30,C654,Coffee Machine,4.0,-776.0722527306448,Cash,failed,2021,6,30,June,2021-06,Refund/Reversal,776.0722527306448,776.0722527306448,0.0
T0317,2022-09-19,C4635,Smartphone,1.0,983.6168855720676,Credit card,completed,2022,9,19,September,2022-09,Sale,983.6168855720676,0.0,983.6168855720676
T0319,2020-01-14,C3479,Headphones,410.0,-424.9231685199768,Paypal,completed,2020,1,14,January,2020-01,Refund/Reversal,424.9231685199768,424.9231685199768,0.0
T0328,2024-10-09,C1878,Headphones,989.0,-448.0931012413039,Cash,completed,2024,10,9,October,2024-10,Refund/Reversal,448.0931012413039,448.0931012413039,0.0
T0333,2023-12-29,C2256,Laptop,584.0,-760.8401091670196,Credit card,completed,2023,12,29,December,2023-12,Refund/Reversal,760.8401091670196,760.8401091670196,0.0
T0337,2023-03-02,C4233,Tablet,118.0,-959.1751724156724,Cash,completed,2023,3,2,March,2023-03,Refund/Reversal,959.1751724156724,959.1751724156724,0.0
T0338,2023-04-10,C4411,Coffee Machine,10.0,-990.5678038370074,Cash,pending,2023,4,10,April,2023-04,Refund/Reversal,990.5678038370074,990.5678038370074,0.0
T0339,2021-08-03,C3229,Coffee Machine,1.0,-369.1381893846831,Cash,completed,2021,8,3,August,2021-08,Refund/Reversal,369.1381893846831,369.1381893846831,0.0
T0352,2022-10-16,C2080,Tablet,2.0,822.9978026249265,Cash,completed,2022,10,16,October,2022-10,Sale,822.9978026249265,0.0,822.9978026249265
T0355,2021-04-26,C1559,Tablet,5.0,-742.8986999123656,Paypal,failed,2021,4,26,April,2021-04,Refund/Reversal,742.8986999123656,742.8986999123656,0.0
T0358,2022-01-26,C215,Headphones,481.0,505.1016560358623,Cash,completed,2022,1,26,January,2022-01,Sale,505.1016560358623,0.0,505.1016560358623
T0359,2022-11-29,C3357,Headphones,726.0,-243.71280693140815,Paypal,pending,2022,11,29,November,2022-11,Refund/Reversal,243.71280693140815,243.71280693140815,0.0
T0373,2020-02-07,C1963,Coffee Machine,7.0,-505.84,Credit card,pending,2020,2,7,February,2020-02,Refund/Reversal,505.84,505.84,0.0
T0383,2020-09-18,C218,Tablet,3.0,111.88623908989376,Paypal,completed,2020,9,18,September,2020-09,Sale,111.88623908989376,0.0,111.88623908989376
T0385,2020-02-06,C1925,Headphones,171.0,-355.31375075825906,Paypal,completed,2020,2,6,February,2020-02,Refund/Reversal,355.31375075825906,355.31375075825906,0.0
T0386,2023-04-13,C3257,Smartphone,10.0,-587.7645737338092,Paypal,completed,2023,4,13,April,2023-04,Refund/Reversal,587.7645737338092,587.7645737338092,0.0
T0394,2023-09-19,C2968,Tablet,266.0,444.1461383852306,Paypal,completed,2023,9,19,September,2023-09,Sale,444.1461383852306,0.0,444.1461383852306
T0411,2021-08-20,C842,Laptop,2.0,-398.5156160262819,Credit card,completed,2021,8,20,August,2021-08,Refund/Reversal,398.5156160262819,398.5156160262819,0.0
T0423,2021-12-20,C898,Headphones,4.0,-552.0757026363176,Creditcard,pending,2021,12,20,December,2021-12,Refund/Reversal,552.0757026363176,552.0757026363176,0.0
T0431,2024-01-10,C1515,Tablet,701.0,-877.2554479693767,Credit card,pending,2024,1,10,January,2024-01,Refund/Reversal,877.2554479693767,877.2554479693767,0.0
T0434,2021-09-14,C4958,Tablet,4.0,-830.7487608215996,Creditcard,completed,2021,9,14,September,2021-09,Refund/Reversal,830.7487608215996,830.7487608215996,0.0
T0441,2021-04-28,C1822,Laptop,598.0,175.65593211106244,Credit card,completed,2021,4,28,April,2021-04,Sale,175.65593211106244,0.0,175.65593211106244
T0443,2022-09-20,C1659,Coffee Machine,3.0,-158.6013602889866,Cash,completed,2022,9,20,September,2022-09,Refund/Reversal,158.6013602889866,158.6013602889866,0.0
T0448,2024-01-12,C4227,Headphones,1.0,-828.7889066621897,Credit card,completed,2024,1,12,January,2024-01,Refund/Reversal,828.7889066621897,828.7889066621897,0.0
T0449,2024-04-18,C1428,Headphones,908.0,-664.3672272948074,Credit card,pending,2024,4,18,April,2024-04,Refund/Reversal,664.3672272948074,664.3672272948074,0.0
T0464,2021-06-07,C1343,Headphones,3.0,644.4471848103135,Creditcard,completed,2021,6,7,June,2021-06,Sale,644.4471848103135,0.0,644.4471848103135
T0466,2023-07-27,C2554,Headphones,9.0,-641.4939137873032,Pay pal,completed,2023,7,27,July,2023-07,Refund/Reversal,641.4939137873032,641.4939137873032,0.0
T0468,2022-04-02,C2171,Coffee Machine,4.0,632.6464123180596,Paypal,completed,2022,4,2,April,2022-04,Sale,632.6464123180596,0.0,632.6464123180596
T0475,2020-08-27,C3914,Tablet,3.0,73.30939822921115,Pay pal,completed,2020,8,27,August,2020-08,Sale,73.30939822921115,0.0,73.30939822921115
T0478,2024-06-26,C4896,Headphones,178.0,124.31215620910118,Cash,completed,2024,6,26,June,2024-06,Sale,124.31215620910118,0.0,124.31215620910118
T0486,2021-01-01,C1245,Laptop,3.0,954.2825882761236,Cash,completed,2021,1,1,January,2021-01,Sale,954.2825882761236,0.0,954.2825882761236
T0489,2021-04-02,C1507,Smartphone,567.0,-534.7524182087768,Paypal,completed,2021,4,2,April,2021-04,Refund/Reversal,534.7524182087768,534.7524182087768,0.0
T0497,2020-02-24,C3523,Headphones,3.0,-985.7498369236312,Pay pal,completed,2020,2,24,February,2020-02,Refund/Reversal,985.7498369236312,985.7498369236312,0.0
T0521,2020-01-09,C745,Coffee Machine,10.0,-145.8264235816955,Pay pal,completed,2020,1,9,January,2020-01,Refund/Reversal,145.8264235816955,145.8264235816955,0.0
T0523,2022-09-08,C063,Coffee Machine,4.0,298.16416488561003,Cash,pending,2022,9,8,September,2022-09,Sale,298.16416488561003,0.0,298.16416488561003
T0524,2021-04-09,C2023,Headphones,849.0,-500.0003605344676,Paypal,completed,2021,4,9,April,2021-04,Refund/Reversal,500.0003605344676,500.0003605344676,0.0
T0526,2024-12-11,C3889,Coffee Machine,3.0,901.392659384538,Paypal,failed,2024,12,11,December,2024-12,Sale,901.392659384538,0.0,901.392659384538
T0527,2020-06-11,C4693,Headphones,7.0,-111.37130045670392,Cash,failed,2020,6,11,June,2020-06,Refund/Reversal,111.37130045670392,111.37130045670392,0.0
T0532,2024-06-21,C979,Smartphone,8.0,163.11752758515232,Paypal,completed,2024,6,21,June,2024-06,Sale,163.11752758515232,0.0,163.11752758515232
T0534,2023-04-18,C2446,Smartphone,451.0,318.05,Paypal,failed,2023,4,18,April,2023-04,Sale,318.05,0.0,318.05
T0536,2023-12-26,C193,Headphones,661.0,496.0210703338801,Paypal,completed,2023,12,26,December,2023-12,Sale,496.0210703338801,0.0,496.0210703338801
T0542,2022-11-09,C2130,Laptop,6.0,500.0137781553335,Credit card,failed,2022,11,9,November,2022-11,Sale,500.0137781553335,0.0,500.0137781553335
T0543,2020-03-13,C3429,Headphones,7.0,100.1938282424832,Creditcard,failed,2020,3,13,March,2020-03,Sale,100.1938282424832,0.0,100.1938282424832
T0551,2024-10-20,C1351,Coffee Machine,7.0,677.8996430726346,Paypal,completed,2024,10,20,October,2024-10,Sale,677.8996430726346,0.0,677.8996430726346
T0565,2023-11-25,C577,Headphones,777.0,740.8441366976862,Paypal,failed,2023,11,25,November,2023-11,Sale,740.8441366976862,0.0,740.8441366976862
T0576,2020-10-21,C3653,Laptop,487.0,-462.5588493551151,Cash,failed,2020,10,21,October,2020-10,Refund/Reversal,462.5588493551151,462.5588493551151,0.0
T0587,2020-03-21,C4690,Headphones,5.0,-758.22221988884,Credit card,failed,2020,3,21,March,2020-03,Refund/Reversal,758.22221988884,758.22221988884,0.0
T0588,2020-11-03,C584,Tablet,3.0,-980.8473934909644,Credit card,completed,2020,11,3,November,2020-11,Refund/Reversal,980.8473934909644,980.8473934909644,0.0
T0596,2020-05-25,C4981,Smartphone,980.0,930.0379818138474,Creditcard,failed,2020,5,25,May,2020-05,Sale,930.0379818138474,0.0,930.0379818138474
T0601,2020-07-24,C4698,Tablet,3.0,-436.73177969707297,Cash,completed,2020,7,24,July,2020-07,Refund/Reversal,436.73177969707297,436.73177969707297,0.0
T0621,2022-11-11,C3537,Headphones,313.0,221.0992079455016,Cash,completed,2022,11,11,November,2022-11,Sale,221.0992079455016,0.0,221.0992079455016
T0628,2021-11-08,C3224,Tablet,4.0,-967.3999133955474,Credit card,completed,2021,11,8,November,2021-11,Refund/Reversal,967.3999133955474,967.3999133955474,0.0
T0632,2020-04-13,C1982,Headphones,638.0,362.28591057798576,Credit card,failed,2020,4,13,April,2020-04,Sale,362.28591057798576,0.0,362.28591057798576
T0638,2024-07-19,C3044,Tablet,4.0,464.5194808520282,Paypal,completed,2024,7,19,July,2024-07,Sale,464.5194808520282,0.0,464.5194808520282
T0641,2024-07-15,C2354,Laptop,7.0,64.17348443527412,Pay pal,completed,2024,7,15,July,2024-07,Sale,64.17348443527412,0.0,64.17348443527412
T0642,2020-11-17,C4965,Tablet,1.0,-378.9639964747207,Credit card,completed,2020,11,17,November,2020-11,Refund/Reversal,378.9639964747207,378.9639964747207,0.0
T0643,2021-04-09,C4347,Laptop,4.0,841.2991021061262,Cash,failed,2021,4,9,April,2021-04,Sale,841.2991021061262,0.0,841.2991021061262
T37318,2021-05-07,C2292,Laptop,6.0,-240.63500671230716,Cash,completed,2021,5,7,May,2021-05,Refund/Reversal,240.63500671230716,240.63500671230716,0.0
T0664,2021-07-12,C124,Smartphone,4.0,67.85859307003622,Cash,completed,2021,7,12,July,2021-07,Sale,67.85859307003622,0.0,67.85859307003622
T0670,2020-03-10,C2551,Laptop,5.0,889.4273239276191,Credit card,completed,2020,3,10,March,2020-03,Sale,889.4273239276191,0.0,889.4273239276191
T0675,2021-07-28,C2617,Laptop,2.0,235.7304532651376,Credit card,completed,2021,7,28,July,2021-07,Sale,235.7304532651376,0.0,235.7304532651376
T0679,2022-06-07,C1139,Laptop,465.0,-658.4590633919295,Paypal,completed,2022,6,7,June,2022-06,Refund/Reversal,658.4590633919295,658.4590633919295,0.0
T0682,2020-09-27,C3166,Headphones,728.0,-276.47323416167,Cash,completed,2020,9,27,September,2020-09,Refund/Reversal,276.47323416167,276.47323416167,0.0
T0688,2021-12-21,C2605,Headphones,10.0,164.9825050253434,Creditcard,failed,2021,12,21,December,2021-12,Sale,164.9825050253434,0.0,164.9825050253434
T0689,2021-05-16,C2384,Coffee Machine,9.0,-382.75398868940135,Cash,failed,2021,5,16,May,2021-05,Refund/Reversal,382.75398868940135,382.75398868940135,0.0
T0691,2021-10-08,C1483,Headphones,5.0,-900.7538505528112,Cash,completed,2021,10,8,October,2021-10,Refund/Reversal,900.7538505528112,900.7538505528112,0.0
T0695,2023-03-10,C028,Headphones,6.0,-316.1837590334354,Pay pal,pending,2023,3,10,March,2023-03,Refund/Reversal,316.1837590334354,316.1837590334354,0.0
T0698,2022-01-23,C1771,Tablet,169.0,320.65371324440616,Credit card,completed,2022,1,23,January,2022-01,Sale,320.65371324440616,0.0,320.65371324440616
T0701,2022-12-04,C1296,Headphones,5.0,200.84135163300837,Paypal,completed,2022,12,4,December,2022-12,Sale,200.84135163300837,0.0,200.84135163300837
T0708,2023-10-10,C919,Tablet,163.0,119.55153877012434,Cash,completed,2023,10,10,October,2023-10,Sale,119.55153877012434,0.0,119.55153877012434
T0713,2022-01-20,C675,Headphones,8.0,808.57,Paypal,completed,2022,1,20,January,2022-01,Sale,808.57,0.0,808.57
T0734,2022-03-03,C3468,Tablet,803.0,-452.1328395920808,Credit card,completed,2022,3,3,March,2022-03,Refund/Reversal,452.1328395920808,452.1328395920808,0.0
T0735,2024-12-15,C4246,Coffee Machine,8.0,-350.6419957708754,Credit card,completed,2024,12,15,December,2024-12,Refund/Reversal,350.6419957708754,350.6419957708754,0.0
T0738,2020-05-13,C2824,Laptop,4.0,348.3648163446102,Pay pal,completed,2020,5,13,May,2020-05,Sale,348.3648163446102,0.0,348.3648163446102
T0744,2020-05-01,C219,Tablet,9.0,-50.69536203723658,Credit card,completed,2020,5,1,May,2020-05,Refund/Reversal,50.69536203723658,50.69536203723658,0.0
T0747,2020-01-22,C4819,Smartphone,6.0,580.581683468913,Paypal,completed,2020,1,22,January,2020-01,Sale,580.581683468913,0.0,580.581683468913
T0749,2023-11-03,C3051,Coffee Machine,1.0,532.7818237284533,Credit card,pending,2023,11,3,November,2023-11,Sale,532.7818237284533,0.0,532.7818237284533
T0753,2024-03-16,C1843,Smartphone,8.0,-121.93488327330522,Cash,completed,2024,3,16,March,2024-03,Refund/Reversal,121.93488327330522,121.93488327330522,0.0
T0763,2021-03-20,C2880,Headphones,3.0,626.0,Cash,completed,2021,3,20,March,2021-03,Sale,626.0,0.0,626.0
T0767,2021-03-06,C3584,Headphones,6.0,666.0085284023678,Pay pal,pending,2021,3,6,March,2021-03,Sale,666.0085284023678,0.0,666.0085284023678
T0778,2021-01-15,C1794,Tablet,10.0,-365.7322554809473,Credit card,pending,2021,1,15,January,2021-01,Refund/Reversal,365.7322554809473,365.7322554809473,0.0
T0780,2023-01-09,C3617,Headphones,7.0,677.8973457876896,Paypal,failed,2023,1,9,January,2023-01,Sale,677.8973457876896,0.0,677.8973457876896
T0788,2021-01-16,C4735,Tablet,831.0,261.025395989305,Cash,failed,2021,1,16,January,2021-01,Sale,261.025395989305,0.0,261.025395989305
T0798,2022-02-08,C4215,Coffee Machine,3.0,-528.7733841586569,Creditcard,failed,2022,2,8,February,2022-02,Refund/Reversal,528.7733841586569,528.7733841586569,0.0
T0807,2023-02-10,C3438,Headphones,10.0,-188.12352674114845,Cash,completed,2023,2,10,February,2023-02,Refund/Reversal,188.12352674114845,188.12352674114845,0.0
T0809,2024-06-17,C092,Laptop,279.0,-456.2399541228617,Cash,pending,2024,6,17,June,2024-06,Refund/Reversal,456.2399541228617,456.2399541228617,0.0
T0815,2021-09-03,C2164,Tablet,407.0,-385.5678723843472,Cash,completed,2021,9,3,September,2021-09,Refund/Reversal,385.5678723843472,385.5678723843472,0.0
T0830,2022-10-19,C4692,Coffee Machine,5.0,552.6956150167373,Cash,completed,2022,10,19,October,2022-10,Sale,552.6956150167373,0.0,552.6956150167373
T0834,2023-03-18,C3015,Tablet,2.0,637.5026061371781,Credit card,completed,2023,3,18,March,2023-03,Sale,637.5026061371781,0.0,637.5026061371781
T0838,2024-05-03,C3095,Coffee Machine,6.0,-291.6173331436819,Cash,completed,2024,5,3,May,2024-05,Refund/Reversal,291.6173331436819,291.6173331436819,0.0
T0839,2024-02-22,C205,Smartphone,368.0,305.0921948967844,Credit card,failed,2024,2,22,February,2024-02,Sale,305.0921948967844,0.0,305.0921948967844
T0842,2020-08-24,C3805,Coffee Machine,108.0,-962.5145461164354,Creditcard,completed,2020,8,24,August,2020-08,Refund/Reversal,962.5145461164354,962.5145461164354,0.0
T0864,2020-12-28,C3641,Smartphone,10.0,-115.38015809453157,Paypal,pending,2020,12,28,December,2020-12,Refund/Reversal,115.38015809453157,115.38015809453157,0.0
T0867,2024-11-09,C3206,Smartphone,536.0,-890.64,Pay pal,completed,2024,11,9,November,2024-11,Refund/Reversal,890.64,890.64,0.0
T0876,2020-05-13,C1034,Headphones,261.0,332.3202556776406,Paypal,completed,2020,5,13,May,2020-05,Sale,332.3202556776406,0.0,332.3202556776406
T0878,2024-09-27,C4449,Tablet,5.0,948.8816063349858,Paypal,failed,2024,9,27,September,2024-09,Sale,948.8816063349858,0.0,948.8816063349858
T0886,2022-01-27,C4872,Tablet,1.0,-924.659632181763,Paypal,completed,2022,1,27,January,2022-01,Refund/Reversal,924.659632181763,924.659632181763,0.0
T0887,2022-02-13,C971,Tablet,447.0,-819.4299685366303,Paypal,completed,2022,2,13,February,2022-02,Refund/Reversal,819.4299685366303,819.4299685366303,0.0
T0889,2023-07-27,C3024,Smartphone,5.0,784.021476433943,Credit card,completed,2023,7,27,July,2023-07,Sale,784.021476433943,0.0,784.021476433943
T0892,2023-10-07,C1702,Tablet,850.0,748.8996734892544,Cash,completed,2023,10,7,October,2023-10,Sale,748.8996734892544,0.0,748.8996734892544
T0900,2023-12-16,C1964,Headphones,2.0,-647.8816749780428,Cash,completed,2023,12,16,December,2023-12,Refund/Reversal,647.8816749780428,647.8816749780428,0.0
T0909,2023-04-13,C2257,Coffee Machine,10.0,-296.39987538825415,Credit card,failed,2023,4,13,April,2023-04,Refund/Reversal,296.39987538825415,296.39987538825415,0.0
T0911,2023-12-23,C4610,Headphones,4.0,-494.0526186201254,Creditcard,pending,2023,12,23,December,2023-12,Refund/Reversal,494.0526186201254,494.0526186201254,0.0
T0915,2024-04-22,C2333,Laptop,741.0,-829.979718558152,Creditcard,completed,2024,4,22,April,2024-04,Refund/Reversal,829.979718558152,829.979718558152,0.0
T0919,2024-08-05,C4978,Smartphone,7.0,115.48299928701152,Paypal,completed,2024,8,5,August,2024-08,Sale,115.48299928701152,0.0,115.48299928701152
T0923,2020-09-22,C2065,Smartphone,5.0,838.469347414304,Creditcard,completed,2020,9,22,September,2020-09,Sale,838.469347414304,0.0,838.469347414304
T0924,2025-01-29,C127,Headphones,389.0,335.3975346648843,Credit card,completed,2025,1,29,January,2025-01,Sale,335.3975346648843,0.0,335.3975346648843
T0928,2022-11-18,C4418,Coffee Machine,5.0,-369.7065020325148,Credit card,pending,2022,11,18,November,2022-11,Refund/Reversal,369.7065020325148,369.7065020325148,0.0
T0930,2020-11-14,C3596,Tablet,6.0,-806.24,Creditcard,completed,2020,11,14,November,2020-11,Refund/Reversal,806.24,806.24,0.0
T0954,2022-06-03,C1930,Laptop,866.0,-421.5137794243248,Creditcard,completed,2022,6,3,June,2022-06,Refund/Reversal,421.5137794243248,421.5137794243248,0.0
T0969,2022-07-12,C200,Smartphone,8.0,-992.1565654449236,Paypal,completed,2022,7,12,July,2022-07,Refund/Reversal,992.1565654449236,992.1565654449236,0.0
T0979,2022-08-25,C465,Headphones,6.0,-584.1879236356881,Paypal,completed,2022,8,25,August,2022-08,Refund/Reversal,584.1879236356881,584.1879236356881,0.0
T0987,2022-04-08,C3803,Headphones,5.0,-636.8130734404331,Cash,completed,2022,4,8,April,2022-04,Refund/Reversal,636.8130734404331,636.8130734404331,0.0
T0994,2025-01-17,C2063,Smartphone,4.0,901.7674294653611,Paypal,completed,2025,1,17,January,2025-01,Sale,901.7674294653611,0.0,901.7674294653611
T1006,2025-01-28,C4205,Coffee Machine,9.0,679.8185351189029,Creditcard,completed,2025,1,28,January,2025-01,Sale,679.8185351189029,0.0,679.8185351189029
